Bmw,A,B,C,steady,gamma1,gamma2,rabi
0.001,8.904242260733965e-06,-9.848517431144592e-05,-2.5464250573766887e-05,0.00012400548550947047,9896.344283087845,33855.47780167606,7928.338411184249
0.002,4.303158957321001e-05,-8.348172098361601e-05,-7.866368757349425e-05,0.00014318831879383019,13345.610803634725,33164.01997986653,24905.549604736792
0.003,5.364024428049985e-05,-6.413543996534246e-05,-9.879109043908737e-05,0.00015295220448317213,14482.992512115507,33460.108139828524,41484.91077952887
0.004,5.53941548797353e-05,-5.1559462129008894e-05,-0.00010502970840238969,0.000157782423364808,14737.978964695385,33774.76604353088,57935.328409140115
0.005,5.542337191862427e-05,-4.324525881148769e-05,-0.00010730605994486146,0.00016041034213373512,14742.195374454359,33855.03559204392,74155.9393921399
0.006,5.510211395928488e-05,-3.731543457244507e-05,-0.00010819342784667633,0.00016198919620013036,14678.519720992801,33766.99084485651,90124.2922572445
0.007,5.474369568700902e-05,-3.285123009660572e-05,-0.00010853027249408477,0.00016302457008226718,14604.14588827485,33601.71151971044,105878.1798532707
0.008,5.44219112745144e-05,-2.9362069970338593e-05,-0.0001086349329056603,0.00016375757084771884,14536.54065246649,33416.17317266179,121470.3212764074
0.009000000000000001,5.414816922763296e-05,-2.6559635286462397e-05,-0.00010863950718643632,0.000164312745614375,14479.86623239902,33238.237599555454,136946.35646419262
0.01,5.391748096370705e-05,-2.4260925937997904e-05,-0.00010860181041330866,0.00016475894791805705,14433.880223236885,33078.99358304048,152339.87926170323
